flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_packets,total_bytes,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,tcp_syn_count,tcp_fin_count,tcp_ack_count,label
10.116.63.54_10.116.63.69_5000_46300,10.116.63.54,10.116.63.69,5000,46300,2.451155662536621,5,567,5,0,567,0,2.039854129388773,231.3194582726869,113.4,66,231,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_46314,10.116.63.54,10.116.63.69,5000,46314,2.668853521347046,5,567,5,0,567,0,1.8734636277364367,212.4507753853119,113.4,66,231,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_46320,10.116.63.54,10.116.63.69,5000,46320,1.2091288566589355,5,567,5,0,567,0,4.135208561489466,468.9326508729055,113.4,66,231,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_46326,10.116.63.54,10.116.63.69,5000,46326,20.11693835258484,5,750,5,0,750,0,0.248546767523277,37.28201512849156,150.0,66,304,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_48544,10.116.63.54,10.116.63.69,5000,48544,2.9933300018310547,5,609,5,0,609,0,1.670380478243776,203.4523422500919,121.8,66,232,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_48548,10.116.63.54,10.116.63.69,5000,48548,5.587955951690674,5,609,5,0,609,0,0.8947815700814922,108.98439523592576,121.8,66,232,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_49500,10.116.63.54,10.116.63.69,5000,49500,2.8142244815826416,5,567,5,0,567,0,1.776688403047414,201.47646490557676,113.4,66,231,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_49506,10.116.63.54,10.116.63.69,5000,49506,3.084189414978028,5,567,5,0,567,0,1.621171506431495,183.84084882933155,113.4,66,231,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_49510,10.116.63.54,10.116.63.69,5000,49510,2.0904290676116943,5,567,5,0,567,0,2.391853460836381,271.2361824588456,113.4,66,231,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_49524,10.116.63.54,10.116.63.69,5000,49524,28.771244049072266,5,567,5,0,567,0,0.1737846299406447,19.707177035269112,113.4,66,231,0,0,0,BENIGN
10.116.63.54_10.116.63.69_5000_49854,10.116.63.54,10.116.63.69,5000,49854,0.0403418540954589,2,132,2,0,132,0,49.57630344077633,3272.036027091238,66.0,66,66,0,0,0,BENIGN
10.116.63.69_10.116.63.54_37402_5000,10.116.63.69,10.116.63.54,37402,5000,4.904461145401001,7,952,7,0,952,0,1.427271986151633,194.1089901166221,136.0,66,548,0,0,0,BENIGN
10.116.63.69_10.116.63.54_38380_5000,10.116.63.69,10.116.63.54,38380,5000,0.860130786895752,7,937,7,0,937,0,8.138297229498427,1089.3692148628609,133.85714285714286,66,533,0,0,0,BENIGN
10.116.63.69_10.116.63.54_38396_5000,10.116.63.69,10.116.63.54,38396,5000,1.6271562576293943,7,937,7,0,937,0,4.301983885799823,575.8512715706335,133.85714285714286,66,533,0,0,0,BENIGN
10.116.63.69_10.116.63.54_38400_5000,10.116.63.69,10.116.63.54,38400,5000,2.0776407718658447,7,911,7,0,911,0,3.3692061182037665,438.478110526233,130.14285714285714,66,507,0,0,0,BENIGN
10.116.63.69_10.116.63.54_38416_5000,10.116.63.69,10.116.63.54,38416,5000,1.2125136852264404,7,937,7,0,937,0,5.7731307162052605,772.774783012047,133.85714285714286,66,533,0,0,0,BENIGN
10.116.63.69_10.116.63.54_38430_5000,10.116.63.69,10.116.63.54,38430,5000,3.4300649166107178,7,911,7,0,911,0,2.0407777025155465,265.592640998809,130.14285714285714,66,507,0,0,0,BENIGN
10.116.63.69_10.116.63.54_38510_5000,10.116.63.69,10.116.63.54,38510,5000,17.175491094589233,7,919,7,0,919,0,0.4075574876694616,53.50647588117646,131.28571428571428,66,515,0,0,0,BENIGN
10.116.63.69_10.116.63.54_38526_5000,10.116.63.69,10.116.63.54,38526,5000,18.69233441352844,7,945,7,0,945,0,0.3744850613700662,50.55548328495895,135.0,66,541,0,0,0,BENIGN
10.116.63.69_10.116.63.54_38922_5000,10.116.63.69,10.116.63.54,38922,5000,2.471306324005127,7,916,7,0,916,0,2.8325100502536804,370.6541722903388,130.85714285714286,66,512,0,0,0,BENIGN
10.116.63.69_10.116.63.54_38936_5000,10.116.63.69,10.116.63.54,38936,5000,4.820994138717651,7,916,7,0,916,0,1.45198268211584,190.00230525972992,130.85714285714286,66,512,0,0,0,BENIGN
10.116.63.69_10.116.63.54_38940_5000,10.116.63.69,10.116.63.54,38940,5000,4.782160997390747,7,916,7,0,916,0,1.4637733869310037,191.5452032041142,130.85714285714286,66,512,0,0,0,BENIGN
10.116.63.69_10.116.63.54_39526_5000,10.116.63.69,10.116.63.54,39526,5000,0.9028494358062744,7,945,7,0,945,0,7.753230740792088,1046.686150006932,135.0,66,541,0,0,0,BENIGN
10.116.63.69_10.116.63.54_39534_5000,10.116.63.69,10.116.63.54,39534,5000,2.2635738849639893,7,919,7,0,919,0,3.0924548328191026,405.995141622965,131.28571428571428,66,515,0,0,0,BENIGN
10.116.63.69_10.116.63.54_39540_5000,10.116.63.69,10.116.63.54,39540,5000,9.0235493183136,7,919,7,0,919,0,0.7757479626994739,101.84462538868806,131.28571428571428,66,515,0,0,0,BENIGN
10.116.63.69_10.116.63.54_39546_5000,10.116.63.69,10.116.63.54,39546,5000,11.824620723724363,7,919,7,0,919,0,0.5919851607549262,77.71919467625388,131.28571428571428,66,515,0,0,0,BENIGN
10.116.63.69_10.116.63.54_41172_5000,10.116.63.69,10.116.63.54,41172,5000,2.155062198638916,7,916,7,0,916,0,3.2481661106677238,425.0457367673764,130.85714285714286,66,512,0,0,0,BENIGN
10.116.63.69_10.116.63.54_41174_5000,10.116.63.69,10.116.63.54,41174,5000,2.766741991043091,7,942,7,0,942,0,2.530051599556967,340.472658111809,134.57142857142858,66,538,0,0,0,BENIGN
10.116.63.69_10.116.63.54_41180_5000,10.116.63.69,10.116.63.54,41180,5000,30.39326000213623,7,926,7,0,926,0,0.2303142209657008,30.467281230605565,132.28571428571428,66,522,0,0,0,BENIGN
10.116.63.69_10.116.63.54_41188_5000,10.116.63.69,10.116.63.54,41188,5000,33.455244302749634,7,926,7,0,926,0,0.2092347596285429,27.678769630861535,132.28571428571428,66,522,0,0,0,BENIGN
10.116.63.69_10.116.63.54_41300_5000,10.116.63.69,10.116.63.54,41300,5000,0.7504317760467529,7,937,7,0,937,0,9.327963211893485,1248.614504220599,133.85714285714286,66,533,0,0,0,BENIGN
10.116.63.69_10.116.63.54_41316_5000,10.116.63.69,10.116.63.54,41316,5000,4.991944074630737,7,911,7,0,911,0,1.4022592992526268,182.4940316598776,130.14285714285714,66,507,0,0,0,BENIGN
10.116.63.69_10.116.63.54_41324_5000,10.116.63.69,10.116.63.54,41324,5000,1.1537821292877195,7,937,7,0,937,0,6.067003312247007,812.1117290822065,133.85714285714286,66,533,0,0,0,BENIGN
10.116.63.69_10.116.63.54_41338_5000,10.116.63.69,10.116.63.54,41338,5000,228.47244238853452,4,272,4,0,272,0,0.0175075819130856,1.1905155700898211,68.0,66,74,0,0,0,BENIGN
10.116.63.69_10.116.63.54_42760_5000,10.116.63.69,10.116.63.54,42760,5000,3.029186725616455,7,926,7,0,926,0,2.3108512726548622,305.6926112112004,132.28571428571428,66,522,0,0,0,BENIGN
10.116.63.69_10.116.63.54_42770_5000,10.116.63.69,10.116.63.54,42770,5000,2.6799707412719727,7,926,7,0,926,0,2.611968814509388,345.5261603193848,132.28571428571428,66,522,0,0,0,BENIGN
10.116.63.69_10.116.63.54_42780_5000,10.116.63.69,10.116.63.54,42780,5000,1.3433408737182615,7,952,7,0,952,0,5.210888864435838,708.680885563274,136.0,66,548,0,0,0,BENIGN
10.116.63.69_10.116.63.54_42786_5000,10.116.63.69,10.116.63.54,42786,5000,1.6158883571624756,7,952,7,0,952,0,4.331982447284976,589.1496128307567,136.0,66,548,0,0,0,BENIGN
10.116.63.69_10.116.63.54_42792_5000,10.116.63.69,10.116.63.54,42792,5000,0.9053502082824708,7,952,7,0,952,0,7.73181464582597,1051.526791832332,136.0,66,548,0,0,0,BENIGN
10.116.63.69_10.116.63.54_43876_5000,10.116.63.69,10.116.63.54,43876,5000,2.400107383728028,7,916,7,0,916,0,2.9165361714470763,381.6495904350746,130.85714285714286,66,512,0,0,0,BENIGN
10.116.63.69_10.116.63.54_43884_5000,10.116.63.69,10.116.63.54,43884,5000,5.003293037414551,7,916,7,0,916,0,1.39907855639358,183.0794225223599,130.85714285714286,66,512,0,0,0,BENIGN
10.116.63.69_10.116.63.54_43892_5000,10.116.63.69,10.116.63.54,43892,5000,15.625294923782349,7,911,7,0,911,0,0.4479915441049185,58.3028995256544,130.14285714285714,66,507,0,0,0,BENIGN
10.116.63.69_10.116.63.54_43896_5000,10.116.63.69,10.116.63.54,43896,5000,18.375840425491333,7,911,7,0,911,0,0.3809349579619477,49.57596381476205,130.14285714285714,66,507,0,0,0,BENIGN
