flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_packets,total_bytes,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,tcp_syn_count,tcp_fin_count,tcp_ack_count,label
127.0.0.1_127.0.0.1_64064_5044,127.0.0.1,127.0.0.1,64064,5044,0.01516103744506836,4,188,4,0,188,0,263.8341877653719,12400.20682497248,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64065_5045,127.0.0.1,127.0.0.1,64065,5045,0.007769584655761719,4,188,4,0,188,0,514.8280348594575,24196.9176383945,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64066_5046,127.0.0.1,127.0.0.1,64066,5046,0.04566764831542969,4,188,4,0,188,0,87.5893580587228,4116.699828759972,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64067_5047,127.0.0.1,127.0.0.1,64067,5047,0.03752279281616211,4,188,4,0,188,0,106.60187314940717,5010.288038022137,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64068_5048,127.0.0.1,127.0.0.1,64068,5048,0.04455256462097168,4,188,4,0,188,0,89.78158797433468,4219.73463479373,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64069_5049,127.0.0.1,127.0.0.1,64069,5049,0.02191019058227539,4,188,4,0,188,0,182.56345078238917,8580.482186772291,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64070_5050,127.0.0.1,127.0.0.1,64070,5050,0.014638900756835938,4,188,4,0,188,0,273.2445602605863,12842.494332247557,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64071_5001,127.0.0.1,127.0.0.1,64071,5001,0.007081508636474609,4,188,4,0,188,0,564.8513904787557,26548.015352501516,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64072_5002,127.0.0.1,127.0.0.1,64072,5002,0.014210224151611328,4,188,4,0,188,0,281.4874668635281,13229.910942585819,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64073_5003,127.0.0.1,127.0.0.1,64073,5003,0.00670933723449707,4,188,4,0,188,0,596.1840730606589,28020.651433850966,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64074_5004,127.0.0.1,127.0.0.1,64074,5004,0.014741659164428711,4,188,4,0,188,0,271.33987805469746,12752.974268570782,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64075_5005,127.0.0.1,127.0.0.1,64075,5005,0.007135152816772461,4,188,4,0,188,0,560.604671366993,26348.41955424867,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64076_5006,127.0.0.1,127.0.0.1,64076,5006,0.015863895416259766,4,188,4,0,188,0,252.1448796176621,11850.809342030117,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64077_5007,127.0.0.1,127.0.0.1,64077,5007,0.00823831558227539,4,188,4,0,188,0,485.5361463216994,22820.19887711987,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64078_5008,127.0.0.1,127.0.0.1,64078,5008,0.0011708736419677734,4,188,4,0,188,0,3416.2524944003258,160563.8672368153,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64079_5009,127.0.0.1,127.0.0.1,64079,5009,0.008708000183105469,4,188,4,0,188,0,459.3477165699266,21589.34267878655,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64080_5010,127.0.0.1,127.0.0.1,64080,5010,0.0014147758483886719,4,188,4,0,188,0,2827.3029996629593,132883.24098415909,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64081_5011,127.0.0.1,127.0.0.1,64081,5011,0.00899052619934082,4,188,4,0,188,0,444.91277944257337,20910.90063380095,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64082_5012,127.0.0.1,127.0.0.1,64082,5012,0.0017359256744384766,4,188,4,0,188,0,2304.2461200384564,108299.56764180744,47.0,44,56,0,0,0,PORT_SCAN
127.0.0.1_127.0.0.1_64083_5013,127.0.0.1,127.0.0.1,64083,5013,0.010177850723266602,4,188,4,0,188,0,393.0102836796364,18471.483332942913,47.0,44,56,0,0,0,PORT_SCAN
