timestamp,src_ip,dst_ip,icmp_type,icmp_code,frame_length,ttl,label
1786194664.4833336,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194664.4835863,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194664.616688,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194664.6169193,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194664.7564235,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194664.7566583,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194664.9801915,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194664.9804387,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.1369293,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.1370122,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.2278695,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.227965,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.273512,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.2737627,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.3403454,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.340583,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.3762605,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.3764904,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.436086,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.4362335,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.4728723,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.472952,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.5068603,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.5069735,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.5708425,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.5709157,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.6388817,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.6389587,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.6608498,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.6609268,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.688318,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.6883988,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.7502995,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.7503824,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.8541079,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.8541987,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.8891666,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.8893883,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.9577103,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.9578056,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194665.990366,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194665.990442,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194666.0107052,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194666.0107808,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194666.0428865,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194666.0429623,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194666.0718536,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194666.0719357,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194666.1127388,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194666.1128309,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194666.1490295,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194666.1491132,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194666.1699631,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194666.170046,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194666.2029352,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194666.2030122,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194666.2468572,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194666.2469735,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194666.2834325,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194666.2835088,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194666.3481436,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194666.3482237,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194666.3869193,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194666.386996,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194666.456018,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
