flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_packets,total_bytes,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,tcp_syn_count,tcp_fin_count,tcp_ack_count,label,source_dataset,avg_udp_length,min_udp_length,max_udp_length,total_requests,request_rate,avg_uri_length,max_uri_length,avg_query_length,avg_special_char_count,total_angle_bracket_count,total_script_keyword_count,total_event_handler_count,total_encoded_char_count,avg_user_agent_length,avg_frame_length,max_frame_length,icmp_request_count,icmp_reply_count,icmp_other_count,request_reply_ratio,avg_ttl
127.0.0.1_127.0.0.1_62534_5028,127.0.0.1,127.0.0.1,62534.0,5028.0,0.0152680873870849,4.0,188,4.0,0.0,188.0,0.0,261.98435328471714,12313.264604381706,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62535_5029,127.0.0.1,127.0.0.1,62535.0,5029.0,0.0046939849853515,4.0,188,4.0,0.0,188.0,0.0,852.1544087769199,40051.25721251524,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62536_5030,127.0.0.1,127.0.0.1,62536.0,5030.0,0.0145971775054931,4.0,188,4.0,0.0,188.0,0.0,274.0255777868518,12879.202155982031,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62537_5031,127.0.0.1,127.0.0.1,62537.0,5031.0,0.0042285919189453,4.0,188,4.0,0.0,188.0,0.0,945.9413622011728,44459.24402345512,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62538_5032,127.0.0.1,127.0.0.1,62538.0,5032.0,0.0116775035858154,4.0,188,4.0,0.0,188.0,0.0,342.5389656791686,16099.331386920923,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62539_5033,127.0.0.1,127.0.0.1,62539.0,5033.0,0.001537799835205,4.0,188,4.0,0.0,188.0,0.0,2601.1187596899226,122252.58170542636,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62540_5034,127.0.0.1,127.0.0.1,62540.0,5034.0,0.0090575218200683,4.0,188,4.0,0.0,188.0,0.0,441.6219005001316,20756.229323506184,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62541_5035,127.0.0.1,127.0.0.1,62541.0,5035.0,0.0122976303100585,4.0,188,4.0,0.0,188.0,0.0,325.2659170221016,15287.498100038774,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62542_5036,127.0.0.1,127.0.0.1,62542.0,5036.0,0.0046336650848388,4.0,188,4.0,0.0,188.0,0.0,863.2475430923591,40572.63452534088,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62543_5037,127.0.0.1,127.0.0.1,62543.0,5037.0,0.0129952430725097,4.0,188,4.0,0.0,188.0,0.0,307.8049389058085,14466.832128573002,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62544_5038,127.0.0.1,127.0.0.1,62544.0,5038.0,0.0122733116149902,4.0,188,4.0,0.0,188.0,0.0,325.91040832977194,15317.789191499282,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
