timestamp,src_ip,dst_ip,src_port,dst_port,tcp_flags,frame_length,tcp_length,label
1786177149.7419877,127.0.0.1,127.0.0.1,59423,5052,,56,0,HTTP_FLOOD
1786177149.7421153,127.0.0.1,127.0.0.1,59423,5052,,44,0,HTTP_FLOOD
1786177149.7422612,127.0.0.1,127.0.0.1,59423,5052,,183,139,HTTP_FLOOD
1786177149.7433553,127.0.0.1,127.0.0.1,59423,5052,,44,0,HTTP_FLOOD
1786177149.7433777,127.0.0.1,127.0.0.1,59423,5052,,44,0,HTTP_FLOOD
1786177149.7488706,127.0.0.1,127.0.0.1,59423,5052,,44,0,HTTP_FLOOD
1786177149.751106,127.0.0.1,127.0.0.1,59423,5052,,44,0,HTTP_FLOOD
1786177149.7557497,127.0.0.1,127.0.0.1,59424,5052,,56,0,HTTP_FLOOD
1786177149.7558868,127.0.0.1,127.0.0.1,59424,5052,,44,0,HTTP_FLOOD
1786177149.7560287,127.0.0.1,127.0.0.1,59424,5052,,183,139,HTTP_FLOOD
1786177149.7570667,127.0.0.1,127.0.0.1,59424,5052,,44,0,HTTP_FLOOD
1786177149.7570891,127.0.0.1,127.0.0.1,59424,5052,,44,0,HTTP_FLOOD
1786177149.7621677,127.0.0.1,127.0.0.1,59424,5052,,44,0,HTTP_FLOOD
1786177149.7642205,127.0.0.1,127.0.0.1,59424,5052,,44,0,HTTP_FLOOD
1786177149.7691317,127.0.0.1,127.0.0.1,59425,5052,,56,0,HTTP_FLOOD
1786177149.7692633,127.0.0.1,127.0.0.1,59425,5052,,44,0,HTTP_FLOOD
1786177149.7694051,127.0.0.1,127.0.0.1,59425,5052,,183,139,HTTP_FLOOD
1786177149.7703562,127.0.0.1,127.0.0.1,59425,5052,,44,0,HTTP_FLOOD
1786177149.7703767,127.0.0.1,127.0.0.1,59425,5052,,44,0,HTTP_FLOOD
1786177149.7760804,127.0.0.1,127.0.0.1,59425,5052,,44,0,HTTP_FLOOD
1786177149.7780845,127.0.0.1,127.0.0.1,59425,5052,,44,0,HTTP_FLOOD
1786177149.7828033,127.0.0.1,127.0.0.1,59426,5052,,56,0,HTTP_FLOOD
1786177149.782941,127.0.0.1,127.0.0.1,59426,5052,,44,0,HTTP_FLOOD
1786177149.7831283,127.0.0.1,127.0.0.1,59426,5052,,183,139,HTTP_FLOOD
1786177149.784084,127.0.0.1,127.0.0.1,59426,5052,,44,0,HTTP_FLOOD
1786177149.784104,127.0.0.1,127.0.0.1,59426,5052,,44,0,HTTP_FLOOD
1786177149.7892911,127.0.0.1,127.0.0.1,59426,5052,,44,0,HTTP_FLOOD
1786177149.791489,127.0.0.1,127.0.0.1,59426,5052,,44,0,HTTP_FLOOD
1786177149.7953644,127.0.0.1,127.0.0.1,59427,5052,,56,0,HTTP_FLOOD
1786177149.7955089,127.0.0.1,127.0.0.1,59427,5052,,44,0,HTTP_FLOOD
1786177149.7956588,127.0.0.1,127.0.0.1,59427,5052,,183,139,HTTP_FLOOD
1786177149.796629,127.0.0.1,127.0.0.1,59427,5052,,44,0,HTTP_FLOOD
1786177149.7966917,127.0.0.1,127.0.0.1,59427,5052,,44,0,HTTP_FLOOD
1786177149.8016229,127.0.0.1,127.0.0.1,59427,5052,,44,0,HTTP_FLOOD
1786177149.8040607,127.0.0.1,127.0.0.1,59427,5052,,44,0,HTTP_FLOOD
1786177149.8077586,127.0.0.1,127.0.0.1,59428,5052,,56,0,HTTP_FLOOD
1786177149.8078785,127.0.0.1,127.0.0.1,59428,5052,,44,0,HTTP_FLOOD
1786177149.8080423,127.0.0.1,127.0.0.1,59428,5052,,183,139,HTTP_FLOOD
1786177149.8088655,127.0.0.1,127.0.0.1,59428,5052,,44,0,HTTP_FLOOD
1786177149.808886,127.0.0.1,127.0.0.1,59428,5052,,44,0,HTTP_FLOOD
