flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_requests,total_bytes,request_rate,avg_uri_length,max_uri_length,avg_query_length,avg_special_char_count,total_angle_bracket_count,total_script_keyword_count,total_event_handler_count,total_encoded_char_count,avg_user_agent_length,avg_frame_length,max_frame_length,label
XSS_39,127.0.0.1,127.0.0.1,58812,5052,0.553687572479248,20,4545,36.12145367548337,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_40,127.0.0.1,127.0.0.1,58832,5052,0.5801012516021729,20,4545,34.47673995662361,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_41,127.0.0.1,127.0.0.1,58852,5052,0.5504188537597656,20,4545,36.33596462654811,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_42,127.0.0.1,127.0.0.1,58872,5052,0.6715877056121826,20,4545,29.78017589194712,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_43,127.0.0.1,127.0.0.1,58892,5052,0.8913352489471436,20,4545,22.438246466325946,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_44,127.0.0.1,127.0.0.1,58819,5052,0.8868589401245117,20,4545,22.551500689830192,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_45,127.0.0.1,127.0.0.1,58877,5052,0.9927992820739746,20,4545,20.14505888664591,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_46,127.0.0.1,127.0.0.1,58910,5052,1.0266213417053223,20,4545,19.481379538416736,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_47,127.0.0.1,127.0.0.1,58931,5052,1.2049708366394043,20,4545,16.597912075431527,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_48,127.0.0.1,127.0.0.1,58951,5052,1.0172216892242432,20,4545,19.66139752215907,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_49,127.0.0.1,127.0.0.1,58971,5052,1.1714253425598145,20,4545,17.073217791494702,49.25,63,41.25,7.0,60,20,10,115,81.0,227.25,241,XSS_SIM
XSS_50,127.0.0.1,127.0.0.1,58991,5052,0.1502838134765625,3,681,19.9622296679866,49.0,63,41.0,7.0,10,4,1,17,81.0,227.0,241,XSS_SIM
