flow_id,src_ip,dst_ip,flow_duration,total_packets,total_bytes,icmp_request_count,icmp_reply_count,icmp_other_count,request_reply_ratio,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,avg_ttl,label
ICMP_146,127.0.0.1,127.0.0.1,0.8840525150299072,26,1664,13,13,0,1.0,26.0,1664.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_147,127.0.0.1,127.0.0.1,0.9198775291442871,20,1280,10,10,0,1.0,20.0,1280.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_148,127.0.0.1,127.0.0.1,0.930687427520752,20,1280,10,10,0,1.0,20.0,1280.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_149,127.0.0.1,127.0.0.1,0.8543972969055176,14,896,7,7,0,1.0,14.0,896.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_150,127.0.0.1,127.0.0.1,0.9495823383331299,28,1792,14,14,0,1.0,28.0,1792.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_151,127.0.0.1,127.0.0.1,0.9028902053833008,30,1920,15,15,0,1.0,30.0,1920.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_152,127.0.0.1,127.0.0.1,0.9022464752197266,36,2304,18,18,0,1.0,36.0,2304.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_153,127.0.0.1,127.0.0.1,0.9117460250854492,38,2432,19,19,0,1.0,38.0,2432.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_154,127.0.0.1,127.0.0.1,0.9402294158935547,36,2304,18,18,0,1.0,36.0,2304.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_155,127.0.0.1,127.0.0.1,0.9671244621276855,34,2176,17,17,0,1.0,34.0,2176.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_156,127.0.0.1,127.0.0.1,0.9556229114532471,50,3200,25,25,0,1.0,50.0,3200.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_157,127.0.0.1,127.0.0.1,0.8705358505249023,46,2944,23,23,0,1.0,46.0,2944.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_158,127.0.0.1,127.0.0.1,0.8137784004211426,12,768,6,6,0,1.0,12.0,768.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_159,127.0.0.1,127.0.0.1,0.8501050472259521,22,1408,11,11,0,1.0,22.0,1408.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_160,127.0.0.1,127.0.0.1,0.9542446136474609,14,896,7,7,0,1.0,14.0,896.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_161,127.0.0.1,127.0.0.1,0.9476244449615479,44,2816,22,22,0,1.0,44.0,2816.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_162,127.0.0.1,127.0.0.1,0.970473051071167,38,2432,19,19,0,1.0,38.0,2432.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_163,127.0.0.1,127.0.0.1,0.9426109790802002,88,5632,44,44,0,1.0,88.0,5632.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_164,127.0.0.1,127.0.0.1,0.9676752090454102,74,4736,37,37,0,1.0,74.0,4736.0,64.0,64,64,128.0,ICMP_TRAFFIC
ICMP_165,127.0.0.1,127.0.0.1,0.017612457275390625,4,256,2,2,0,1.0,4.0,256.0,64.0,64,64,128.0,ICMP_TRAFFIC
